target_start_utc,decision_time_utc,realised_price_gbp_mwh,frozen_prediction_gbp_mwh,previous_settlement_day_reference_gbp_mwh,ewma_correction_gbp_mwh,ewma_prediction_gbp_mwh,ewma_abs_error_gbp_mwh,ewma_history_rows,ewma_history_latest_target_utc,ewma_interval_lower_gbp_mwh,ewma_interval_upper_gbp_mwh,ewma_interval_covered
2026-08-15 07:30:00+00:00,2026-08-15 05:30:00+00:00,129.24,117.30920995835862,124.95,15.231399122646424,132.54060908100504,3.3006090810050353,1619,2026-08-15T05:00:00+00:00,97.81690615174288,167.26431201026722,True
2026-08-15 08:00:00+00:00,2026-08-15 06:00:00+00:00,128.87,125.44836722563814,117.48,15.247619831886627,140.69598705752477,11.82598705752477,1620,2026-08-15T05:30:00+00:00,105.9722841282626,175.41968998678692,True
2026-08-15 08:30:00+00:00,2026-08-15 06:30:00+00:00,130.44,94.18102062239448,116.52,15.16242441569788,109.34344503809237,21.09655496190763,1621,2026-08-15T06:00:00+00:00,74.6197421088302,144.0671479673545,True
2026-08-15 09:00:00+00:00,2026-08-15 07:00:00+00:00,134.43,111.21145669038744,115.52,15.21303308807812,126.42448977846556,8.00551022153445,1622,2026-08-15T06:30:00+00:00,91.7007868492034,161.14819270772773,True
2026-08-15 09:30:00+00:00,2026-08-15 07:30:00+00:00,138.83,101.00793652149254,111.58,15.15811636682276,116.1660528883153,22.663947111684706,1623,2026-08-15T07:00:00+00:00,81.44234995905313,150.88975581757745,True
2026-08-15 10:00:00+00:00,2026-08-15 08:00:00+00:00,137.77,92.2832646840586,106.34,15.111846830372313,107.39511151443091,30.3748884855691,1624,2026-08-15T07:30:00+00:00,72.67140858516876,142.11881444369305,True
2026-08-15 10:30:00+00:00,2026-08-15 08:30:00+00:00,130.15,94.32375876516892,110.82,14.94424655358681,109.26800531875573,20.88199468124428,1625,2026-08-15T08:00:00+00:00,74.54430238949357,143.99170824801791,True
2026-08-15 11:00:00+00:00,2026-08-15 09:00:00+00:00,127.15,98.41513857123496,112.37000000000002,15.24983164414164,113.6649702153766,13.485029784623407,1626,2026-08-15T08:30:00+00:00,78.94126728611444,148.38867314463874,True
2026-08-15 11:30:00+00:00,2026-08-15 09:30:00+00:00,123.97,101.95935863077024,109.15,15.364077480390264,117.3234361111605,6.646563888839495,1627,2026-08-15T09:00:00+00:00,82.59973318189833,152.04713904042268,True
2026-08-15 12:00:00+00:00,2026-08-15 10:00:00+00:00,123.11,107.36929891091668,107.43,15.686053164606577,123.05535207552326,0.05464792447673972,1628,2026-08-15T09:30:00+00:00,88.3316491462611,157.7790550047854,True
2026-08-15 12:30:00+00:00,2026-08-15 10:30:00+00:00,122.11,104.87881008016188,106.44,16.113299625023146,120.99210970518503,1.1178902948149698,1629,2026-08-15T10:00:00+00:00,86.26840677592286,155.71581263444716,True
2026-08-15 13:00:00+00:00,2026-08-15 11:00:00+00:00,122.64,96.0630751990016,104.0,16.39592015311747,112.45899535211908,10.181004647880926,1630,2026-08-15T10:30:00+00:00,77.7352924228569,147.1826982813812,True
2026-08-15 13:30:00+00:00,2026-08-15 11:30:00+00:00,122.11,96.85078217647138,105.96,16.57282110318727,113.42360327965865,8.68639672034135,1631,2026-08-15T11:00:00+00:00,78.69990035039649,148.1473062089208,True
2026-08-15 14:00:00+00:00,2026-08-15 12:00:00+00:00,122.69,97.52547636750458,103.46,16.65078205217642,114.176258419681,8.513741580318992,1632,2026-08-15T11:30:00+00:00,79.45255549041885,148.89996134894315,True
2026-08-15 14:30:00+00:00,2026-08-15 12:30:00+00:00,120.70000000000002,100.59582628019707,107.88,16.637734402186457,117.23356068238353,3.4664393176164907,1633,2026-08-15T12:00:00+00:00,82.50985775312138,151.9572636116457,True
2026-08-15 15:00:00+00:00,2026-08-15 13:00:00+00:00,132.98,105.92904903108897,124.87,16.646242656059393,122.57529168714836,10.404708312851625,1634,2026-08-15T12:30:00+00:00,87.85158875788619,157.2989946164105,True
2026-08-15 15:30:00+00:00,2026-08-15 13:30:00+00:00,126.69,112.36863045727848,132.42,16.788616873346765,129.15724733062524,2.4672473306252414,1635,2026-08-15T13:00:00+00:00,94.4335444013631,163.8809502598874,True
2026-08-15 16:00:00+00:00,2026-08-15 14:00:00+00:00,150.8,117.893825714704,175.91,16.910058196574433,134.80388391127843,15.996116088721578,1636,2026-08-15T13:30:00+00:00,100.08018098201626,169.52758684054058,True
2026-08-15 16:30:00+00:00,2026-08-15 14:30:00+00:00,156.84,121.97571749328988,172.69,17.028400827867074,139.00411832115697,17.835881678843037,1637,2026-08-15T14:00:00+00:00,104.2804153918948,173.72782125041914,True
2026-08-15 17:00:00+00:00,2026-08-15 15:00:00+00:00,158.27,122.24717122702968,191.92,17.072497572849002,139.31966879987868,18.950331200121326,1638,2026-08-15T14:30:00+00:00,104.59596587061651,174.0433717291408,True
2026-08-15 17:30:00+00:00,2026-08-15 15:30:00+00:00,159.58,139.15818191267388,191.87,17.215556677074023,156.37373858974792,3.2062614102520968,1639,2026-08-15T15:00:00+00:00,121.65003566048574,191.09744151901006,True
2026-08-15 18:00:00+00:00,2026-08-15 16:00:00+00:00,165.41,129.15878388912768,184.09,17.17406329102853,146.3328471801562,19.077152819843803,1640,2026-08-15T15:30:00+00:00,111.60914425089405,181.05655010941837,True
2026-08-15 18:30:00+00:00,2026-08-15 16:30:00+00:00,166.12,160.87806203880092,191.93,17.399611441335395,178.27767348013631,12.15767348013631,1641,2026-08-15T16:00:00+00:00,143.55397055087417,213.0013764093985,True
2026-08-15 19:00:00+00:00,2026-08-15 17:00:00+00:00,164.51,157.38885572236111,184.04,17.64999896122675,175.03885468358786,10.528854683587866,1642,2026-08-15T16:30:00+00:00,140.3151517543257,209.76255761285003,True
2026-08-15 19:30:00+00:00,2026-08-15 17:30:00+00:00,168.45,153.3815763384038,182.83,17.91340657266844,171.29498291107222,2.844982911072236,1643,2026-08-15T17:00:00+00:00,136.57127998181008,206.01868584033443,True
2026-08-15 20:00:00+00:00,2026-08-15 18:00:00+00:00,167.4,150.15965115792966,168.92,17.949369170284513,168.10902032821417,0.7090203282141658,1644,2026-08-15T17:30:00+00:00,133.385317398952,202.83272325747635,True
2026-08-15 20:30:00+00:00,2026-08-15 18:30:00+00:00,165.89,152.7661212463152,157.61,18.211759114402074,170.97788036071728,5.087880360717293,1645,2026-08-15T18:00:00+00:00,136.2541774314551,205.7015832899794,True
2026-08-15 21:00:00+00:00,2026-08-15 19:00:00+00:00,167.09,147.93675612725383,155.78,18.025813364847462,165.9625694921013,1.1274305078987084,1646,2026-08-15T18:30:00+00:00,131.23886656283915,200.68627242136347,True
2026-08-15 21:30:00+00:00,2026-08-15 19:30:00+00:00,159.41,143.177016211335,149.92,17.869475290242345,161.04649150157735,1.6364915015773533,1647,2026-08-15T19:00:00+00:00,126.32278857231519,195.77019443083952,True
2026-08-15 22:00:00+00:00,2026-08-15 20:00:00+00:00,152.58,146.05933947623268,131.94,17.829317169442,163.88865664567467,11.30865664567466,1648,2026-08-15T19:30:00+00:00,129.16495371641253,198.61235957493685,True
2026-08-15 22:30:00+00:00,2026-08-15 20:30:00+00:00,145.95,142.16081157603318,135.91,17.82087324752487,159.98168482355806,14.031684823558066,1649,2026-08-15T20:00:00+00:00,125.2579818942959,194.7053877528202,True
2026-08-15 23:00:00+00:00,2026-08-15 21:00:00+00:00,147.47,139.08066999682205,137.23,17.753533370475523,156.83420336729756,9.364203367297563,1650,2026-08-15T20:30:00+00:00,122.1105004380354,191.55790629655974,True
2026-08-15 23:30:00+00:00,2026-08-15 21:30:00+00:00,145.12,140.57257007847855,137.68,17.773600741908716,158.34617082038727,13.226170820387267,1651,2026-08-15T21:00:00+00:00,123.62246789112513,193.06987374964942,True
2026-08-16 00:00:00+00:00,2026-08-15 22:00:00+00:00,137.46,130.97115003909585,137.68,17.75151322267754,148.7226632617734,11.262663261773383,1652,2026-08-15T21:30:00+00:00,113.99896033251123,183.44636619103557,True
2026-08-16 00:30:00+00:00,2026-08-15 22:30:00+00:00,135.16,125.81696576624668,131.92,17.59049871842503,143.40746448467172,8.247464484671724,1653,2026-08-15T22:00:00+00:00,108.68376155540955,178.13116741393387,True
2026-08-16 01:00:00+00:00,2026-08-15 23:00:00+00:00,133.03,121.8444976722462,136.78,17.392632074219865,139.23712974646608,6.20712974646608,1654,2026-08-15T22:30:00+00:00,104.5134268172039,173.96083267572823,True
2026-08-16 01:30:00+00:00,2026-08-15 23:30:00+00:00,135.54,127.48606753392863,138.56,17.26355352083956,144.7496210547682,9.209621054768206,1655,2026-08-15T23:00:00+00:00,110.02591812550604,179.47332398403037,True
2026-08-16 02:00:00+00:00,2026-08-16 00:00:00+00:00,141.61,126.80775368793113,141.01,17.081244982721806,143.88899867065294,2.278998670652925,1656,2026-08-15T23:30:00+00:00,109.16529574139076,178.61270159991508,True
2026-08-16 02:30:00+00:00,2026-08-16 00:30:00+00:00,140.26,120.19054350652291,134.26,16.929383919363186,137.1199274258861,3.1400725741139013,1657,2026-08-16T00:00:00+00:00,102.39622449662396,171.84363035514826,True
2026-08-16 03:00:00+00:00,2026-08-16 01:00:00+00:00,137.57,122.94205886092962,141.76,16.82061993087017,139.7626787917998,2.192678791799807,1658,2026-08-16T00:30:00+00:00,105.03897586253763,174.48638172106195,True
2026-08-16 03:30:00+00:00,2026-08-16 01:30:00+00:00,139.3,123.0030867096255,135.78,16.73983036915192,139.74291707877742,0.4429170787774126,1659,2026-08-16T01:00:00+00:00,105.01921414951526,174.4666200080396,True
2026-08-16 04:00:00+00:00,2026-08-16 02:00:00+00:00,145.89,128.95180823909214,135.72,16.615302376279008,145.56711061537115,0.3228893846288372,1660,2026-08-16T01:30:00+00:00,110.843407686109,180.29081354463332,True
2026-08-16 04:30:00+00:00,2026-08-16 02:30:00+00:00,144.88,136.99134505505558,141.69,16.58930895163123,153.5806540066868,8.700654006686818,1661,2026-08-16T02:00:00+00:00,118.85695107742464,188.30435693594896,True
2026-08-16 05:00:00+00:00,2026-08-16 03:00:00+00:00,142.25,134.34677980531856,139.66,16.639203135643392,150.98598294096195,8.735982940961946,1662,2026-08-16T02:30:00+00:00,116.2622800116998,185.7096858702241,True
2026-08-16 05:30:00+00:00,2026-08-16 03:30:00+00:00,147.74,132.19362657523993,150.11,16.610368071914916,148.80399464715484,1.0639946471548285,1663,2026-08-16T03:00:00+00:00,114.08029171789268,183.527697576417,True
