candidate,half_life_hours,shrinkage,selection_mae_gbp_mwh,selection_p95_gbp_mwh,selection_signed_bias_gbp_mwh,selection_eligible,validation_mae_gbp_mwh,validation_p95_gbp_mwh,validation_signed_bias_gbp_mwh
EWMA_3h_SHRINK_0.5,3.0,0.5,12.185561022753074,31.50099442497049,7.847448672551224,True,17.663749531280235,52.29609525651126,-1.8942382526215285
EWMA_3h_SHRINK_1,3.0,1.0,11.992582167859092,28.149802843010885,-0.20631475442654867,True,17.90088139958006,60.92599676893178,-1.4169633231054604
EWMA_6h_SHRINK_0.5,6.0,0.5,11.983569557874272,31.25280350812334,7.75241071478599,True,17.955355954514193,52.783226733477946,-3.151760294623634
EWMA_6h_SHRINK_1,6.0,1.0,11.223087608178904,28.951658937790825,-0.3963906699570131,True,18.329086500963662,57.936963030570254,-3.932007407109671
EWMA_12h_SHRINK_0.5,12.0,0.5,11.877142989164732,30.67377498508629,7.619408312912987,True,18.144599088490732,49.20821720989428,-4.703224698889737
EWMA_12h_SHRINK_1,12.0,1.0,10.817390747520037,27.890257454861846,-0.6623954737030214,True,18.743748187897594,53.804815742986776,-7.034936215641875
EWMA_24h_SHRINK_0.5,24.0,0.5,11.849642083913285,30.331695963619058,7.620912517888621,True,18.344365430255095,50.42068743835548,-6.434175243953267
EWMA_24h_SHRINK_1,24.0,1.0,10.642640610731606,27.712209238611386,-0.659387063751756,True,19.44019415212713,52.71724304525544,-10.496837305768935
